  #        id       flux         zspecflag    redshift       detectprob  soft/hard_ratio  optical_id
         116   9.68000009E-15           1  0.874000013               1  0.707644641             116
         117   7.65000009E-15           1  0.935999990               1  0.392156839             117
         118   5.99999981E-15           1   1.73399997               1  0.716666698             118
         119   3.41999988E-14           1  0.890999973               1  0.523391843             119
         120   4.70000015E-14           1  0.551999986               1  0.214893609             120
         121   1.16000002E-14           1  0.501999974               1  0.471551716             121
         122   2.04000008E-14           1   2.41799998               1   9.11764726E-02         122
         123   7.98999996E-15           1   2.06599998               1  0.449311644             123
         124   9.96999961E-15           0   1.20000005               1  0.264794409             124
         126   3.59000007E-14           1   1.10800004               1  0.891364872             126
         127   9.68000009E-15           1   1.84800005               1  0.366735548             127
         128   9.92000010E-15           1   2.16100001               1  0.365927398             128
         129   1.23999999E-14           1   1.16999996               1  0.704838753             129
         130   8.06999968E-15           0  0.949999988               1  0.521685243             130
         132   6.79999998E-15           1   2.13599992               1  0.560294092             132
         133   1.70999994E-14           1   2.61500001               1  0.447953254             133
         134   6.52000011E-15           1  0.625000000               1  0.483128816             134
         135   9.15999996E-14           1  0.375999987               1  0.244541481             135
         136   1.82999994E-14           1   1.02900004               1  0.414754093             136
         137   6.04000009E-15           1   1.80599999               1  0.764900684             137
         138   1.11999999E-14           0   2.60999990               1  0.395535737             138
         139   2.22000000E-14           0   1.54999995               1  0.428828806             139
         141   8.74000020E-15           1  0.832000017               1  0.257437080             141
         142   9.60000037E-15           1  0.497999996               1  0.520833313             142
         143   1.87000006E-14           1  0.731999993               1  0.127272725             143
         144   9.82000024E-15           0   2.93000007               1  0.397148669             144
         145   1.75999996E-14           1   1.79600000               1  0.185795456             145
         146   9.82000024E-15           1   2.79099989               1  0.536659896             146
         147   1.39000004E-14           1   2.94099998               1  0.382733792             147
         148   6.82000012E-15           0   1.74000001               1  0.500000000             148
         150   8.77000041E-15           1  0.740000010               1  0.310148209             150
         151   1.73999998E-14           1  0.796999991               1  0.109195396             151
         152   1.68999997E-14           1  0.894999981               1  0.532544434             152
         153   1.09000003E-14           1   1.93200004               1  0.560550451             153
         154   8.32999983E-15           0  0.589999974               1  0.336134464             154
         155   2.49000005E-14           0   1.10000002               1  0.220481917             155
         156   1.09000003E-14           0   1.02999997               1  0.393577963             156
         157   1.19999996E-14           1  0.185000002               1  0.471666664             157
         158   1.06999997E-14           1  0.703000009               1  0.160747677             158
         159   5.56000008E-15           0   2.23000002               1  0.548561156             159
         160   1.02000004E-14           1   1.82500005               1  0.234313712             160
         161   1.56999996E-14           1   2.67100000               1  0.569426775             161
         162   9.96000039E-15           1  0.920000017               1  0.700803161             162
         163   6.04000009E-15           1   1.16499996               1  0.703642368             163
         164   1.73999998E-14           1  0.528999984               1  0.701149464             164
         165   7.89000010E-15           1   2.14599991               1  0.553865671             165
         166   2.78000008E-14           1   1.04200006               1  0.633093476             166
         167   7.88000002E-15           1   2.04800010               1  0.478426397             167
         168   1.37999997E-14           1   2.95099998               1  0.589130461             168
         169   1.56999996E-14           0   2.45000005               1  0.534394920             169
         170   6.97999999E-15           1  0.934000015               1  0.621776462             170
         171   7.88000002E-15           1   1.18700004               1  0.568527937             171
         172   6.17999982E-15           1  0.890999973               1  0.857605219             172
         173   2.27999992E-14           1   1.02800000               1   6.44736812E-02         173
         174   1.22000002E-14           1  0.740000010               1  0.609836102             174
         175   2.82000003E-14           0   1.53999996               1  0.627659559             175
         176   1.42000000E-14           1   1.61300004               1  0.419718295             176
         177   1.29000001E-14           1  0.338999987               1  0.674418569             177
         178   1.09000003E-14           1   1.25300002               1  0.347706407             178
         181   1.17999999E-14           0   1.72000003               1  0.497457653             181
         182   1.02000004E-14           0   2.03999996               1  0.283333331             182
         185   9.65999995E-15           0   1.11000001               1  0.596273303             185
         186   5.79000001E-15           1   2.18199992               1  0.737478375             186
         187   8.66999970E-15           1   3.35599995               1  0.435986191             187
         188   2.53000000E-14           1   1.18799996               1  0.581027627             188
         189   2.54999997E-14           1   1.83899999               1  0.470588237             189
         191   2.58000002E-14           1  0.345999986               1  0.114728682             191
         192   7.20000028E-15           1   2.17199993               1  0.733333349             192
         193   1.17000000E-14           1  0.731000006               1  0.548717916             193
         194   1.40000003E-14           1   1.45599997               1  0.219285712             194
         196   9.72000038E-15           1   1.48300004               1  0.540123463             196
         197   5.39000014E-15           1   1.58899999               1  0.714285672             197
         198   1.61999998E-14           1  0.894999981               1  0.666666687             198
         199   3.42999995E-14           1   2.45400000               1  0.626822174             199
         200   1.11000000E-14           1   1.15600002               1  0.198198199             200
