#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_150.30799+2.42996   27 150.3080500   2.4300670    1.81e-14    2.79e-14    1.37e-14     1    -0.52       93 	    1  1929997  1201356    20.89    20.13    19.11      51.48      50.11      40.96      56.54       0.26 	   0.373      1      5     0.38  
XMMC_150.30562+2.60205   28 150.3055700   2.6022500    1.37e-14    3.26e-14    1.41e-14     1    -0.36     1593 	    1  2284931  1422298    22.05    21.31    21.00      39.18      55.82      76.01     120.18       0.41 	   1.342      1      5     1.38  
XMMC_149.95598+2.02796   30 149.9558300   2.0280640    1.46e-14    1.56e-14   -6.14e-15     1    -0.65      330 	    1  1297823   805687    19.44    19.03    18.79     112.28     150.87     228.54     318.07       0.76 	   1.753      1      1     1.78  
XMMC_149.94560+2.36922   31 149.9455300   2.3692900    1.74e-14    2.79e-14    1.27e-14     1    -0.52      501 	    1  2021294  1259112    21.16    21.08    19.95      73.51      87.26     112.53     132.07       0.67 	   0.909      1      5     0.90  
XMMC_149.85922+2.25814   32 149.8590400   2.2582580    1.09e-14    2.69e-14    1.37e-14     1    -0.35      412 	    1  1687013  1049266    23.88    22.97    20.91      26.41      29.16      32.97      46.19       0.14 	 -99.000    -99    -99     1.04  
XMMC_150.30957+2.39908   33 150.3095600   2.3991550    1.56e-14    2.69e-14    1.47e-14     1    -0.49       94 	    1  1936889  1205351    19.62    19.22    19.33     132.25     209.22     342.36     490.37       1.58 	   1.799      1      1     1.77  
XMMC_149.99376+2.30144   34 149.9939000   2.3014610    1.22e-14    2.15e-14    1.34e-14     1    -0.49      474 	    1  2037310  1269358    20.63    20.13    19.88      43.44      58.18      96.48     147.38       0.60 	   1.789      1      2     1.77  
XMMC_149.91698+2.38512   37 149.9169100   2.3852110    1.44e-14    2.41e-14    1.20e-14     1    -0.51      510 	    1  2017414  1256662    20.39    20.11    19.42     119.23     155.28     209.01     277.36       0.91 	   1.123      1      2     1.10  
XMMC_150.24513+1.89975   38 150.2451700   1.9000860    1.71e-14    2.73e-14   -1.18e-14     1    -0.52     1044 	    1   856195   527834    20.38    19.94    19.69      73.72      98.01     125.95     176.44       0.76 	   1.559      1      1     1.55  
XMMC_150.49762+2.65968   39 150.4975800   2.6599330    2.31e-14    3.68e-14    1.72e-14     1    -0.52      -99 	    1  2626163  1632313    21.00    20.60    19.22     109.33     113.57     148.88     170.36       0.79 	   0.851      1      2     0.86  
XMMC_150.31166+2.03575   40 150.3119300   2.0357490    2.14e-14    3.83e-14    2.16e-14     1    -0.48       54 	    1  1217579   754529    21.62    20.79    19.09     136.95     114.79     103.07     120.10       0.48 	   0.971      1      5     0.99  
XMMC_150.10566+2.12623   41 150.1055500   2.1263600    8.15e-15    2.72e-14    1.78e-14     1    -0.20      468 	    1  1599112   993945    21.89    21.67    20.53      33.89      38.55      53.47      68.65       0.23 	   0.962      2      5     1.03  
XMMC_150.51152+2.40956   42 150.5115700   2.4096090    1.70e-14    2.46e-14    1.10e-14     1    -0.55      644 	    1  1894730  1181400    20.46    20.50    19.94      90.71     130.74     188.07     249.85       0.76 	   0.988      1      1     1.02  
XMMC_149.83418+2.30867   43 149.8340200   2.3087630    1.09e-14    2.68e-14    1.05e-14     1    -0.34      411 	    1  2075019  1292036    23.55    22.05    19.61     102.36      98.19      83.44      81.36       0.28 	   1.162      2      3     1.28  
XMMC_150.21453+2.20423   44 150.2146600   2.2042850    1.20e-14    2.12e-14    1.10e-14     1    -0.48       21 	    1  1620425  1007423    21.47    21.04    20.95      17.93      24.11      41.05      62.82       0.21 	   1.850      1      2     1.86  
XMMC_150.33599+2.43359   45 150.3359700   2.4337950    5.44e-15    2.09e-14    1.38e-14     1    -0.12      658 	    1  1929243  1200864    20.44    19.65    19.02      42.44      33.23      25.91      32.91       0.17 	   0.121      2      5     0.13  
XMMC_150.31790+2.60189   47 150.3178500   2.6020960    1.20e-14    2.16e-14    1.05e-14     1    -0.47     1594 	    1  2284085  1422203    21.28    20.68    19.61      96.89     105.94     122.47     142.05       0.52 	   0.959      1      2     0.95  
XMMC_149.77153+2.25820   48 149.7713500   2.2583350    1.37e-14    3.42e-14    2.43e-14     1    -0.34      404 	    1  1686825  1050305    21.49    20.97    19.81      44.09      59.08      94.87     155.70       0.61 	   2.222      1      4     2.23  
XMMC_150.07285+2.00315   49 150.0730400   2.0035150    1.01e-14    1.83e-14    1.02e-14     1    -0.46      347 	    1  1263713   784309    21.30    20.68    19.60      36.08      36.63      39.73      41.59       0.25 	   0.353      1      5     0.37  
XMMC_149.89197+2.28504   50 149.8919600   2.2851520    9.33e-15    2.30e-14    1.58e-14     1    -0.35      414 	    1  1680653  1045156    24.63    24.25    21.76      30.53      52.53      96.16     231.38       1.45 	 -99.000    -99    -99     2.94  
XMMC_150.05886+2.01497   51 150.0589200   2.0151780    1.04e-14    1.73e-14    1.10e-14     1    -0.51      352 	    1  1300441   807384    20.16    19.91    19.20      51.54      54.43      78.16     138.79       0.61 	   2.497      1      1     2.47  
XMMC_150.06783+1.85098   52 150.0678600   1.8513380    1.14e-14    1.91e-14   -1.74e-14     1    -0.50      252 	    1   906538   561112    21.23    20.83    20.04      86.69     101.80     130.83     186.16       1.66 	   1.134      1      5     1.16  
XMMC_150.31371+2.80316   53 150.3136600   2.8036180    1.69e-14    2.20e-14    1.25e-14     1    -0.58      -99 	    1  3023417  1878391    21.11    20.80    19.91      57.11      76.57      95.82     122.51       0.38 	   1.459      1      3     1.47  
XMMC_150.37959+2.49011   54 150.3797800   2.4902170    1.00e-14    9.94e-15   -2.40e-14     1    -0.67      633 	    1  2308786  1436836    19.75    18.26    17.70     175.02     146.89      99.60      72.18       0.09 	   0.350      2      1     0.33  
XMMC_150.08502+2.15364   55 150.0849762   2.1539268    5.49e-15    1.81e-14    8.60e-15     1    -0.21      461 	    1  1633151      -99    26.04    25.89    22.12     -99.00     -99.00     -99.00     -99.00       0.28 	 -99.000    -99    -99   -99.00  
XMMC_150.00435+2.23713   56 150.0044500   2.2370970    1.19e-14    2.18e-14    1.46e-14     1    -0.46      452 	    1  1652456  1027693    22.18    21.59    20.22      41.66      58.90      77.07     127.13       0.61 	   1.407      1      5     0.53  
XMMC_150.49074+2.77542   57 150.4907400   2.7754490    1.78e-14    5.45e-14    3.01e-14     1    -0.25      -99 	    1  2597845  1614591    20.41    20.08    19.56      81.58     120.37     170.81     258.27       0.93 	   1.449      1      2     1.44  
XMMC_150.19531+2.00447   59 150.1955700   2.0044380    6.95e-15    1.14e-14   -1.13e-14     1    -0.51      363 	    1  1265042   784281    20.50    20.09    19.98      56.57      83.76     140.95     206.88       1.10 	   1.920      1      2     1.92  
XMMC_150.21620+1.98860   60 150.2163400   1.9887360    7.89e-15    1.56e-14    1.22e-14     1    -0.43     1085 	    1  1267304   786402    22.00    21.61    20.54      19.01      21.35      34.98      44.74       0.18 	   2.240      1      2     2.25  
XMMC_150.12376+2.35831   61 150.1236800   2.3582950    1.20e-14    1.24e-14   -1.26e-14     1    -0.66       71 	    1  1985024  1235913    21.25    20.30    19.14     102.03      84.35      96.77      92.44       0.52 	   0.728      1      5     0.73  
XMMC_150.07550+2.08107   62 150.0755166   2.0812730    8.51e-15    1.91e-14    1.21e-14     1    -0.39      354 	    1      -99      -99   -99.00   -99.00    19.58     -99.00     -99.00     -99.00     -99.00       0.62 	 -99.000    -99    -99   -99.00  
XMMC_149.78222+2.13877   63 149.7818900   2.1391040    9.62e-15    2.40e-14    1.83e-14     1    -0.33      313 	    1  1715123  1067126    20.14    18.97    18.34     142.09     145.84     137.45     214.88       1.11 	   0.355      2      2     0.37  
XMMC_149.89383+2.10766   64 149.8935400   2.1077390    9.61e-15    1.92e-14    1.01e-14     1    -0.44      339 	    1  1317644   818306    22.54    21.27    19.88      54.01      45.52      51.39      46.35       0.36 	   0.686      2      5     0.81  
XMMC_150.17402+2.40304   65 150.1739600   2.4029980    7.22e-15    1.61e-14    1.14e-14     1    -0.39       79 	    1  1973781  1229698    23.23    22.39    20.99      23.31      26.20      44.22      44.55       0.12 	   0.979      2      3     0.80  
XMMC_149.86818+2.33065   66 149.8680300   2.3307180    1.08e-14    1.56e-14   -1.34e-14     1    -0.56      454 	    1  2070080  1289598    21.03    20.75    20.05      55.00      78.01     106.62     138.57       0.59 	   1.478      1      2     1.48  
XMMC_150.40713+2.47880   67 150.4070600   2.4789040    7.06e-15    1.46e-14   -2.90e-14     1    -0.41     1278 	    1  2273444  1416195    21.98    21.20    20.45      19.93      20.82      25.67      28.39       0.19 	   0.367      2      5     0.37  
XMMC_150.04264+2.06326   68 150.0426300   2.0632940    8.21e-15    1.59e-14   -3.53e-15     1    -0.45      351 	    1  1288856   800296    23.60    22.69    20.93      18.70      23.10      33.37      48.69       0.31 	   2.018      1      6     1.99  
XMMC_149.89498+2.17467   69 149.8948300   2.1744850    8.35e-15    1.62e-14   -1.29e-14     1    -0.44     1129 	    1  1667271  1037082    22.37    22.04    20.68      30.39      34.37      33.85      48.22       0.21 	   1.323      1      5     1.39  
XMMC_150.15023+2.47523   70 150.1502300   2.4751980    1.38e-15    3.99e-14    2.23e-14     1     0.70       77 	    1  2351717  1464475    21.67    20.50    18.76     286.50     395.18     573.48     807.01       3.82 	   0.688      2      5     0.66  
