#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_150.49116+2.70025  283 150.4909500   2.7003690    7.67e-15    1.53e-14   -3.09e-14     1    -0.43      -99 	    1  2616440  1626280    23.73    22.60    20.28      39.59      36.08      33.48      38.93       0.14 	   1.030      2      5     0.99  
XMMC_149.92870+2.29805  284 149.9288400   2.2979910    2.78e-15    7.83e-15   -6.49e-15     1    -0.29      453 	    1  2037950  1270380    23.80    23.05    20.76      34.44      45.95      50.64      51.28       0.48 	 -99.000    -99    -99     1.47  
XMMC_149.82290+2.08947  285 149.8226900   2.0896590    4.32e-15   -4.69e-15   -2.71e-15     1    -0.59      307 	    1  1322535   821535    22.80    22.13    20.87      26.51      33.36      44.57      43.14       0.26 	   2.046      1      5     2.05  
XMMC_150.38928+2.71384  287 150.3892400   2.7136620    3.23e-15   -2.06e-14   -2.29e-14     1    -0.54      -99 	    1  2653684  1649131    24.77    24.17    20.60      29.25      38.68      60.99     106.53       0.52 	 -99.000    -99    -99     1.98  
XMMC_149.76052+2.41974  288 149.7606400   2.4199120    5.84e-15    9.36e-15   -1.04e-14     1    -0.52      520 	    1  2047664  1276732    22.07    21.69    20.27      44.91      42.10      38.19      48.25       0.27 	   1.106      1      2     1.09  
XMMC_149.90195+2.27016  290 149.9018600   2.2706910    1.41e-15   -8.07e-15   -7.14e-15     1    -1.00      415 	    1  1645040  1022637    24.55    24.15    21.59      11.95      16.28      19.68      28.93       0.15 	   2.090      2      6     1.72  
XMMC_150.05935+2.11221  291 150.0594700   2.1122550    1.25e-15    9.13e-15   -8.93e-15     1     0.19     1082 	    1  1277727   793338    23.71    22.84    19.95     117.25     161.26     227.87     305.63       0.98 	 -99.000    -99    -99     0.93  
XMMC_150.53769+2.41346  292 150.5377500   2.4136550    1.74e-15    2.54e-14    2.19e-14     1     0.48      647 	    1  1891614  1180890    23.13    21.42    19.88      64.94      69.01      98.81     145.49       0.59 	   0.618      2      5     0.62  
XMMC_149.86223+1.89492  293 149.8620300   1.8948490    9.13e-15    4.34e-14    2.41e-14     1    -0.02      209 	    1   973485   602889    20.32    19.01    18.13     206.79     231.16     303.03     489.24       3.43 	   0.445      2      5     0.34  
XMMC_149.90631+1.91721  294 149.9061500   1.9172290    7.55e-15    1.52e-14   -1.23e-14     1    -0.42      201 	    1   930307   576036    23.82    22.36    19.95      91.55     162.24     268.14     424.78       1.47 	 -99.000    -99    -99     1.63  
XMMC_150.44713+2.79092  295 150.4469100   2.7914950    2.79e-15   -2.43e-14   -1.91e-14     1    -0.41      -99 	    1  2594043  1612105    22.69    21.84    20.93      26.24      28.64      32.64      31.90       0.15 	   1.529      1      4     1.54  
XMMC_149.99802+2.41616  296 149.9973500   2.4162020    2.02e-15    5.88e-15   -1.20e-14     1    -0.26     2097 	    1  2009864  1252296    21.69    20.42    19.42      52.26      39.32      35.36      23.54       0.07 	   0.570      2      5     0.59  
XMMC_150.06221+2.65921  297 150.0619900   2.6595120    5.05e-15    1.02e-14   -1.04e-14     1    -0.42      115 	    1  2707157  1681492    20.82    19.02    18.78      90.63      77.78      63.49      67.96       0.30 	   0.439      2      5     0.33  
XMMC_150.06887+2.23100  298 150.0692100   2.2313280    2.52e-15    4.76e-15   -5.11e-15     1    -0.45      958 	    1  1612967  1002713    24.43    23.60    22.58       6.04       8.32      13.85      12.43       0.08 	   1.869      1      6     1.88  
XMMC_150.20929+2.43844  300 150.2089900   2.4384670    1.62e-15   -1.76e-14   -2.07e-14     1    -1.00      955 	    1  1965822  1224733    21.53    21.24    21.31       9.08      10.44      17.92      33.12       0.15 	   3.715      1      5     3.53  
XMMC_149.75620+2.11749  301 149.7563400   2.1173340    2.43e-15    5.11e-15   -3.16e-15     1    -0.41      309 	    1  1316321   817285    24.89    24.38    21.56      11.21      13.56      18.89      18.26     -99.00 	 -99.000    -99    -99     2.55  
XMMC_150.05710+2.20631  302 150.0572000   2.2059390    1.91e-15    6.83e-15    9.27e-15     1    -0.17     1297 	    1  1658977  1031548    19.24    18.30    18.01     129.63     108.34      86.23     339.00       3.93 	   0.186      2      3     0.18  
XMMC_150.08149+1.90534  303 150.0814300   1.9060090    1.57e-15   -4.58e-15   -2.16e-15     1    -0.27      253 	    1   894026   552640    23.20    22.72    22.61       6.31       9.38       7.89      17.64       0.15 	   0.971      2      4     1.75  
XMMC_149.88092+2.31758  304 149.8815700   2.3181990    1.58e-15    4.71e-15   -8.83e-15     1    -0.29      864 	    1  2073002  1291370    23.94    22.98    20.72      17.47      21.24      19.02      14.87       0.77 	   1.607      2      7     1.67  
XMMC_150.50136+2.35411  306 150.5013900   2.3542260    2.51e-15    5.76e-15   -1.15e-14     1    -0.38      594 	    1  1906394  1188989    23.88    22.97    20.86      23.96      25.34      22.04      31.91       0.24 	 -99.000    -99    -99     0.95  
XMMC_150.42192+2.38563  308 150.4219500   2.3855380    3.22e-15    6.77e-15   -1.96e-14     1    -0.41      589 	    1  1899463  1184543    24.04    23.42    21.71      14.77      18.60      19.92      17.88       0.21 	   1.514      1      3     1.53  
XMMC_150.10887+2.15666  309 150.1087000   2.1570460    2.16e-15    3.30e-15   -5.26e-15     1    -0.53     1170 	    1  1633722  1014732    23.21    22.74    21.70      13.34      16.20      19.36      20.06       0.12 	 -99.000    -99    -99     1.77  
XMMC_149.61290+2.27164  310 149.6127100   2.2717390    1.29e-14    2.28e-14   -1.56e-14     1    -0.48      -99 	    1  1722653  1072508    21.70    20.78    20.01      60.69      52.51      52.74      52.17       0.17 	 -99.000    -99    -99     2.67  
XMMC_150.32372+2.48423  311 150.3248400   2.4841070    1.38e-15   -1.19e-14   -1.25e-14     1    -1.00      -99 	    1  2310479  1437575    19.62    18.15    17.57     195.43     163.70     110.45      92.27     -99.00 	   0.349      3      5     0.34  
XMMC_150.22997+2.55847  312 150.2304600   2.5584490    2.83e-15   -1.65e-14   -2.18e-14     1    -1.00     3664 	    1  2294251  1426379    19.92    17.83    16.43     467.09     312.00     218.64     121.16     -99.00 	   0.000    -99      3     0.00  
XMMC_149.86793+2.30489  313 149.8680900   2.3048910    1.78e-15    1.12e-14   -8.66e-15     1     0.11      402 	    1  2076081  1293505    23.79    22.69    20.29      42.94      42.20      50.52      81.57       0.55 	 -99.000    -99    -99     0.97  
XMMC_150.04612+2.20077  314 150.0459800   2.2011440    2.11e-15    6.37e-15   -8.59e-15     1    -0.25      443 	    1  1658742  1033180    22.69    22.44    21.42      14.92      17.41      23.03      25.75       0.14 	   2.702      1      5     2.70  
XMMC_150.11252+1.90397  315 150.1121400   1.9041080    1.71e-15   -7.96e-15   -1.05e-14     1    -0.27      256 	    1   894432   552545    23.89    22.83    22.06       8.34       8.49      14.67      36.43       0.45 	 -99.000    -99    -99     0.84  
XMMC_150.25331+2.27799  317 150.2527700   2.2781390    1.63e-15   -1.03e-14   -1.30e-14     1    -1.00     3718 	    1  1563881   970474    18.87    17.60    17.41     331.10     325.78     424.93    2221.47       6.64 	   0.166      2      3     0.12  
XMMC_150.24771+2.44209  318 150.2477800   2.4421530    1.50e-15    7.97e-15   -1.98e-14     1     0.02       75 	    1  1926389  1199858    24.42    24.05    21.65      10.07      18.28      40.99     119.59       1.07 	   3.029      1      6     2.97  
XMMC_149.98446+2.23603  319 149.9845100   2.2357470   -4.84e-16    6.50e-15   -8.62e-15     1     1.00      697 	    1  1652758  1027871    24.74    23.94    21.29      20.89      27.79      31.70      41.72       0.17 	   1.639      1      6     1.46  
XMMC_150.34090+2.36722  320 150.3410300   2.3671830    2.64e-15    4.70e-15   -2.04e-14     1    -0.48      100 	    1  1943941  1210176    24.33    23.46    21.26      15.97      19.58      21.67      19.68     -99.00 	   1.590      1      6     1.56  
XMMC_150.40693+2.36570  322 150.4066600   2.3654960    2.12e-15   -1.18e-14   -1.01e-14     1    -1.00      587 	    1  1903993  1187382    22.55    22.06    21.51       7.26       9.69      18.76      19.49       0.06 	   2.040      1      2     2.01  
XMMC_150.53797+2.31036  323 150.5378700   2.3105360    4.01e-15    2.87e-14    1.54e-14     1     0.18      600 	    1  1919160  1195173    22.56    21.37    19.86      63.90      70.57      95.75     120.10       0.47 	   0.839      2      5     0.78  
XMMC_150.02458+1.91462  325 150.0249600   1.9147950    1.05e-15   -6.58e-15   -8.67e-15     1    -1.00      668 	    1   930795   576321    21.88    20.79    19.23     151.69     198.92     299.45     407.34       2.25 	   0.969      2      5     0.83  
XMMC_150.25685+2.64631  326 150.2563000   2.6468550    1.21e-15   -1.58e-14   -1.98e-14     1    -1.00      -99 	    1  2668917  1659191    23.54    23.23    22.48       5.49       6.69      11.26      11.41     -99.00 	   3.003      1      3     3.06  
XMMC_150.18981+2.00013  327 150.1902500   2.0003250    1.05e-15    6.65e-15   -1.17e-14     1     0.12      362 	    1  1263403   784856    24.07    23.29    20.87      27.46      33.31      42.77      29.73       0.16 	 -99.000    -99    -99     1.91  
XMMC_150.01065+2.25598  328 150.0104800   2.2559150    1.65e-15    6.44e-15   -1.81e-14     1    -0.11     1141 	    1  1647974  1024667    23.56    22.77    21.40      14.25      18.97      21.28      25.67       0.17 	   1.661      1      6     1.65  
XMMC_149.86880+1.99303  329 149.8685400   1.9930100    4.10e-15    5.69e-15   -3.98e-15     1    -0.57      211 	    1  1345479   835641    21.80    21.41    20.58      37.17      42.24      48.78      58.84       0.24 	   1.166      1      2     1.15  
XMMC_149.96328+2.24134  330 149.9634700   2.2414540    2.00e-15   -3.45e-15   -5.06e-15     1    -1.00      449 	    1  1651386  1027096    24.68    23.93    22.45       3.85       3.11       6.40       4.31     -99.00 	   2.147      1      6     2.15  
XMMC_149.87652+2.16660  331 149.8761600   2.1667290    3.81e-15    9.75e-15   -5.89e-15     1    -0.33     1069 	    1  1708703  1063023    25.57    24.96    22.43      15.84      29.24      47.45     104.53       0.48 	 -99.000    -99    -99     2.39  
XMMC_150.20537+2.50268  333 150.2053200   2.5029280    1.41e-15   -1.34e-14   -1.65e-14     1    -0.37      124 	    1  2345301  1460794    23.46    23.17    21.95       8.07      11.15      13.31      13.26     -99.00 	 -99.000    -99    -99     3.07  
XMMC_150.20210+2.79569  334 150.2020900   2.7958830    3.22e-15   -1.70e-14   -1.72e-14     1    -1.00      -99 	    1  3062085  1902857    24.81    23.82    21.95      11.38      15.99      24.50      31.80       0.14 	 -99.000    -99    -99     1.96  
XMMC_149.79216+2.08582  337 149.7917700   2.0859360    3.14e-15    8.73e-15   -6.62e-15     1    -0.29      314 	    1  1323460   822068    24.73    23.74    21.29      20.19      27.58      44.06      45.05       0.21 	 -99.000    -99    -99     1.72  
XMMC_150.09620+2.29298  338 150.0965200   2.2930850    1.26e-15    9.24e-15   -1.00e-14     1     0.19       85 	    1  1961176  1221773    25.44    24.91    21.71      13.44      15.11      13.54       8.43     -99.00 	 -99.000    -99    -99     1.55  
XMMC_150.03417+2.64114  339 150.0342600   2.6411720    5.89e-15    1.09e-14   -1.14e-14     1    -0.46      622 	    1  2751162  1709009    21.99    21.12    19.68      50.27      55.37      65.36      77.38       0.29 	   0.518      2      5     0.50  
XMMC_149.81430+2.01611  341 149.8141900   2.0163480    6.58e-15    1.15e-14   -1.46e-14     1    -0.48      203 	    1  1341118   832537    22.96    22.45    21.60      11.26      13.36      20.07      16.10     -99.00 	   1.360      1      3     1.41  
XMMC_150.44744+2.89888  343 150.4475000   2.8991900    4.33e-15   -3.72e-14   -3.87e-14     1    -0.34      -99 	   10  2967210  1842171    22.27    21.90    20.92      32.24      36.34      34.64      38.44       0.10 	 -99.000    -99    -99     1.25  
XMMC_150.17013+2.12137  345 150.1702200   2.1214410    2.52e-15    7.55e-15   -9.12e-15     1    -0.26       41 	    1  1235583   766637    25.33    24.45    22.62       5.69       7.84      10.42      18.80       0.13 	   1.813      2      6     1.51  
XMMC_150.43568+2.60893  346 150.4359283   2.6090059    1.47e-15    6.68e-15   -2.34e-14     1    -0.06      -99 	    1  2242402  1397083    25.78    26.44    22.28       8.86      13.13      24.24      38.56       0.21 	 -99.000    -99    -99     2.55  
XMMC_149.84229+2.32397  348 149.8425300   2.3243950   -1.21e-15    9.70e-15   -8.66e-15     1     1.00     1119 	    1  2071484  1290382    24.65    22.90    20.40      42.42      34.62      32.51      31.62       0.13 	 -99.000    -99    -99     0.77  
XMMC_150.21087+2.39138  349 150.2107600   2.3914730    1.76e-15    5.60e-15   -1.83e-14     1    -0.23      953 	    1  1977373  1231613    22.85    22.58    21.89       7.89       9.43      14.61      16.97       0.08 	   3.095      1      6     3.09  
XMMC_150.30857+2.79616  350 150.3086500   2.7966860    2.62e-15   -2.34e-14   -2.84e-14     1    -1.00      -99 	    1  3024890  1879590    23.93    23.18    20.73      32.20      38.63      33.52      30.72       0.06 	 -99.000    -99    -99     1.67  
XMMC_149.87696+2.11562  351 149.8766479   2.1155801    2.67e-15    7.82e-15   -7.05e-15     1    -0.26      337 	    1  1316436   817670    26.05    25.16    21.68      13.74      17.33      19.58      24.71       0.21 	 -99.000    -99    -99     2.20  
XMMC_149.98894+1.90806  352 149.9888100   1.9085560    1.66e-15    5.64e-15   -1.01e-14     1    -0.20      232 	    1   931909   577002    22.79    22.02    20.37      40.70      45.88      53.85      55.87       0.15 	   0.165      3      5     0.20  
XMMC_150.08455+2.29046  353 150.0843800   2.2904880    2.34e-15    8.57e-15   -1.23e-14     1    -0.14       84 	    1  1599929   994021    23.25    22.60    20.79      27.04      34.15      40.54      41.63       0.40 	   1.112      1      5     1.43  
XMMC_150.05165+2.30555  355 150.0516000   2.3058750   -1.01e-15    7.09e-15   -1.24e-14     1     0.28      888 	    1  2035923  1269218    24.03    23.01    20.65      33.19      37.09      36.25      55.47       0.34 	 -99.000    -99    -99     1.46  
XMMC_150.06992+2.10143  356 150.0699100   2.1016240    1.24e-15   -5.84e-15   -3.84e-15     1    -0.16      348 	    1  1240456   769646    23.30    22.95    21.61      11.57      14.16      17.60      14.14       0.14 	   2.250      1      6     2.04  
XMMC_150.37501+2.31012  357 150.3745800   2.3102290    2.20e-15    1.98e-14   -2.63e-14     1     0.25      583 	    1  1956892  1218747    23.63    23.14    21.08      18.57      22.51      26.10      21.41       0.12 	   2.151      1      6     2.15  
XMMC_150.20809+1.87512  359 150.2082200   1.8753590    5.32e-15    1.11e-14   -9.22e-15     1    -0.42      275 	    1   900906   557365    20.87    20.63    19.94      63.79      71.74      78.08      99.29       0.41 	   1.149      1      5     1.12  
XMMC_150.22438+2.28416  360 150.2249500   2.2841680    1.43e-15   -1.57e-14   -1.59e-14     1    -0.28      918 	    1  1601180   995299    24.44    23.50    21.83      11.66      16.57      24.21      31.36       0.17 	 -99.000    -99    -99     1.85  
XMMC_150.12485+2.45580  361 150.1251068   2.4557843    1.37e-15   -1.17e-14   -9.49e-15     1    -0.29      653 	    1  1962189  1222231    25.55    25.47    22.90       3.01       3.62       4.93       4.27     -99.00 	 -99.000    -99    -99     2.53  
XMMC_150.28122+2.41596  362 150.2812500   2.4158420    1.18e-15    6.89e-15   -2.04e-14     1     0.07       89 	    1  1928188  1200329    24.73    24.46    22.51       6.82       9.79      18.97      22.58       0.16 	 -99.000    -99    -99     1.49  
XMMC_150.00934+2.14959  363 150.0078580   2.1492610    9.70e-16   -8.66e-15   -9.62e-15     0    -1.00     1147 	    1      -99      -99   -99.00   -25.50    23.72     -99.00     -99.00     -99.00     -99.00       0.12 	 -99.000    -99    -99   -99.00  
XMMC_149.85685+2.27281  364 149.8567400   2.2731360    1.54e-15    7.66e-15   -8.14e-15     1    -0.00     2454 	    1  1683363  1046759    22.21    20.66    19.25      83.83      57.62      59.81      39.51       0.28 	   0.764      2      5     0.77  
XMMC_150.54026+2.57539  366 150.5404000   2.5756310    2.04e-15   -2.02e-14   -2.34e-14     1    -1.00      -99 	    1  2250512  1401874    21.86    21.09    19.92      30.33      23.10      22.05      16.33     -99.00 	   0.609      2      5     0.59  
XMMC_150.33258+2.39088  367 150.3326100   2.3910570    1.01e-15    8.25e-15   -2.15e-14     1     0.24       99 	    1  1938708  1206507    25.34    24.01    21.60      11.27       9.70       9.95      20.02       0.10 	 -99.000    -99    -99     0.92  
XMMC_150.01354+1.80037  368 150.0135900   1.8006160    3.08e-15   -5.55e-15   -2.74e-15     1    -1.00      238 	    1   957054   592653    22.09    20.67    20.43      32.36      25.69      22.59      26.47       0.18 	   0.830      2      5     0.81  
XMMC_149.97008+2.27898  369 149.9701900   2.2790090    1.92e-15   -4.45e-15   -1.63e-15     1    -1.00     2484 	    1  1642592  1021522    24.53    24.02    21.55      11.15      12.09       9.95      12.00     -99.00 	 -99.000    -99    -99     1.07  
XMMC_150.45373+2.52793  370 150.4535800   2.5279190    2.65e-15   -2.20e-14   -2.55e-14     1    -0.58     1282 	    1  2261858  1408968    21.93    21.67    21.35      15.55      22.50      34.31      52.03       0.25 	   1.934      1      5     1.93  
XMMC_150.19886+2.59755  371 150.1990400   2.5976380    9.77e-16    8.78e-15   -2.04e-14     1     0.27      118 	    1  2323467  1446391    23.19    21.63    19.66      56.91      41.89      40.57      29.24       0.12 	   0.901      2      4     0.70  
XMMC_150.04654+1.86641  373 150.0468000   1.8667410    2.30e-15   -4.45e-15   -3.75e-15     1    -0.49      247 	    1   941694   583240    23.36    23.03    21.35      12.71      14.43      17.74      15.86       0.11 	   2.411      1      6     2.42  
XMMC_150.18963+2.15973  374 150.1895800   2.1597670    2.02e-15    6.12e-15   -3.93e-15     1    -0.25       44 	    1  1631490  1014432    24.33    23.95    21.68       7.59       8.81      12.07      12.79       0.08 	 -99.000    -99    -99     1.14  
XMMC_150.43820+2.41574  375 150.4381500   2.4158050    4.31e-15    8.40e-15   -1.59e-14     1    -0.43      636 	    1  1893011  1180565    20.85    20.55    20.19      36.46      53.03      91.81     123.77       0.45 	   2.032      1      1     2.05  
XMMC_150.19221+2.54412  376 150.1917877   2.5439100    1.64e-15   -1.84e-14   -1.86e-14     1    -0.22      121 	    1  2336190  1454559    25.90    26.32   -99.00       3.99       3.90       4.87       6.36     -99.00 	 -99.000    -99    -99     2.78  
XMMC_150.43401+2.49275  377 150.4341700   2.4928640   -2.96e-15    7.94e-15   -2.69e-14     1     1.00     3802 	    1  2270441  1413936    24.81    23.96    21.65      11.77      13.81      13.49      26.12       0.18 	 -99.000    -99    -99     1.31  
XMMC_150.10145+2.16713  378 150.1009300   2.1678220    1.99e-15    1.05e-14   -1.05e-14     1     0.03      466 	    1  1629620  1013070    23.48    22.89    21.56       9.40      11.54      16.81      15.52       0.09 	 -99.000    -99    -99     0.82  
XMMC_149.81742+2.23608  379 149.8170500   2.2360600    1.19e-15    6.82e-15   -3.77e-15     1     0.08      408 	    1  1691930  1052242    24.26    23.83    21.80      12.46      16.04      16.67      24.08     -99.00 	 -99.000    -99    -99     1.73  
XMMC_150.38383+2.58648  381 150.3837300   2.5871550    1.18e-15   -3.06e-14   -2.82e-14     1    -0.10      -99 	    1  2287020  1424118    23.39    21.74    20.96      21.73      17.31      20.67      23.44       0.17 	   0.884      2      5     0.75  
XMMC_150.22408+2.10583  382 150.2243900   2.1056090    2.86e-15    7.09e-15   -9.00e-15     1    -0.35       51 	    1  1239247   769078    21.76    20.74    19.88      46.96      36.86      43.36      41.86       0.84 	   0.740      2      4     0.60  
XMMC_150.16153+1.87808  383 150.1617700   1.8779390    3.22e-15    6.69e-15   -1.18e-14     1    -0.42     1028 	    1   899805   556611    22.67    22.25    21.30      15.95      19.01      23.93      34.25       0.12 	   1.444      1      5     1.43  
XMMC_150.22830+1.76691  385 150.2283100   1.7673100    1.55e-15    1.72e-14   -1.39e-14     1     0.37     1049 	    1   484139   305345    21.21    20.10    18.48     130.04     142.69     167.97     316.52       1.93 	   0.350      2      5     0.31  
XMMC_150.07043+2.28602  387 150.0704800   2.2862730    8.84e-16    6.31e-15   -1.29e-14     1     0.18      887 	    1  1600519   994600    24.44    22.96    20.81      20.20      15.59      15.23       5.34     -99.00 	 -99.000    -99    -99     0.94  
XMMC_149.91355+2.24608  388 149.9137289   2.2465044    1.07e-15   -7.35e-15   -9.04e-15     1    -1.00      861 	    1      -99      -99   -99.00   -25.50   -99.00     -99.00     -99.00     -99.00     -99.00     -99.00 	 -99.000    -99    -99   -99.00  
XMMC_149.96908+2.30487  389 149.9691400   2.3048115    2.28e-15    4.18e-15   -1.20e-14     1    -0.47      472 	    1      -99      -99   -99.00    24.05    21.96     -99.00     -99.00     -99.00     -99.00     -99.00 	 -99.000    -99    -99   -99.00  
XMMC_149.99184+2.58996  390 149.9917700   2.5900670    1.69e-15    9.32e-15   -7.25e-15     1     0.04      614 	    1  2363107  1471371    25.36    24.17    21.24      37.49      54.66      65.67      79.20       0.39 	 -99.000    -99    -99     1.74  
XMMC_150.32824+2.12495  391 150.3282600   2.1249580    5.14e-15    1.26e-14   -1.79e-14     1    -0.34       59 	    1  1234393   741069    22.86    22.06    21.12      23.77      31.51      39.43      48.86       0.21 	   1.780      1      5     1.76  
XMMC_149.79369+2.12564  392 149.7929800   2.1256300    2.50e-15   -6.49e-15   -1.14e-14     1    -1.00      679 	    1  1314264   816104    19.58    18.55    17.28    1101.44    1789.29    2900.01    4831.77      28.11 	   0.353      2      3     0.34  
XMMC_150.24341+2.07749  393 150.2435800   2.0776950    1.10e-15    1.15e-14   -9.72e-15     1     0.34      921 	    1  1208029   748227    24.80    23.83    21.01      21.58      20.93      18.62      38.52       0.19 	 -99.000    -99    -99     1.19  
XMMC_150.29920+2.63325  395 150.2991800   2.6334760    2.02e-15    4.91e-15   -2.17e-14     1    -0.35      -99 	    1  2672505  1661123    23.13    23.12    22.28       6.33       7.07       8.53      16.26     -99.00 	 -99.000    -99    -99     2.98  
XMMC_150.08225+2.05808  396 150.0824585   2.0584781    1.96e-15   -3.46e-15   -1.23e-15     1    -0.41      355 	    1  1250780      -99    24.30    23.28    20.72     -99.00     -99.00     -99.00     -99.00       0.18 	 -99.000    -99    -99   -99.00  
XMMC_150.29962+2.70929  397 150.3000100   2.7093910    1.97e-15   -1.63e-14   -1.90e-14     1    -1.00      -99 	    1  2654666  1649768    22.41    21.97    21.63      13.37      19.13      30.91      42.97       0.21 	   2.235      1      5     2.26  
XMMC_150.02638+2.56206  398 150.0267700   2.5620330    3.06e-15    4.89e-15   -2.04e-15     1    -0.52      991 	    1  2369664  1475670    22.40    20.96    19.57      56.42      40.04      39.10      29.94     -99.00 	   0.745      2      3     0.77  
XMMC_149.85026+2.39854  399 149.8503000   2.3984920    3.73e-15    8.51e-15   -4.69e-15     1    -0.38      506 	    1  2053814  1279880    23.71    23.35    21.61      11.49      12.05      12.32      13.86     -99.00 	   1.189      2      7     1.08  
XMMC_149.81827+2.05272  400 149.8182800   2.0530350    2.89e-15    8.30e-15   -6.76e-15     1    -0.27     1013 	    1  1331467   827103    24.72    23.74    21.19      19.42      23.05      21.66      38.96       0.19 	 -99.000    -99    -99     0.80  
XMMC_150.25213+2.26205  402 150.2522600   2.2619130    2.22e-15    6.82e-15   -2.41e-14     1    -0.24       29 	    1  1567840   972975    23.77    23.09    20.92      21.99      27.60      39.49      42.27       0.28 	 -99.000    -99    -99     1.08  
XMMC_149.80826+2.31385  403 149.8084869   2.3138218    2.59e-15    6.40e-15   -1.28e-14     1    -0.35      407 	    1  2074063  1292136    26.47    26.17    22.76       3.07       4.67       2.12       0.71     -99.00 	 -99.000    -99    -99     2.51  
XMMC_149.81308+2.34539  404 149.8129300   2.3454860    2.66e-15   -2.52e-15   -3.27e-15     1    -0.50      416 	    1  2066681  1287178    22.55    21.80    20.84      43.68      59.21      68.37      94.43       0.36 	   1.800      1      5     0.71  
XMMC_150.33365+2.44111  405 150.3332062   2.4414532    1.51e-15   -4.32e-14   -3.42e-14     1    -1.00     1276 	    1  1926817  1199948    26.62    26.39    22.54       4.18       5.34       6.60      11.51     -99.00 	 -99.000    -99    -99     2.49  
XMMC_150.38767+2.59150  406 150.3874100   2.5915850    1.30e-15   -2.65e-14   -2.41e-14     1    -1.00      -99 	    1  2286045  1423203    25.05    24.67    22.46       5.98       7.18       4.94      13.00     -99.00 	   2.921      2      6     2.97  
XMMC_150.02692+1.92430  408 150.0273200   1.9244100    1.19e-15    6.04e-15   -8.78e-15     1     0.00      236 	    1      -99      -99   -99.00   -25.50    23.36     -99.00     -99.00     -99.00     -99.00       0.19 	 -99.000    -99    -99   -99.00  
XMMC_150.23231+2.54447  409 150.2326300   2.5442900    9.85e-16   -2.17e-14   -2.30e-14     0    -1.00      130 	    1  2297154  1430688    24.63    24.26    23.51       2.30       3.17       1.34       6.54     -99.00 	 -99.000    -99    -99     1.41  
XMMC_149.91087+2.06807  410 149.9105100   2.0679780    1.97e-15   -4.89e-15   -4.83e-15     1    -1.00      344 	    1  1287901   799939    22.89    22.51    21.32      18.94      22.12      25.53      30.33       0.20 	 -99.000    -99    -99     1.08  
XMMC_149.63827+2.14949  411 149.6382200   2.1496110    4.73e-15    2.04e-14    1.59e-14     1    -0.07      323 	    1  1754425  1091311    23.94    22.58    20.63      27.80      28.31      37.85      52.62       0.23 	   0.952      2      3     1.19  
XMMC_149.95858+2.55292  412 149.9585800   2.5527910    2.07e-15    1.01e-14   -9.32e-15     1    -0.02      567 	    1  2372083  1477199    24.28    23.39    20.99      27.43      36.01      43.62      58.60       0.20 	 -99.000    -99    -99     1.30  
XMMC_149.88417+2.33825  413 149.8842100   2.3381410   -2.02e-15    2.39e-14    1.73e-14     1     0.71      456 	    1  2068401  1288483    22.62    21.20    20.62      32.56      30.34      38.04      66.36       0.52 	   1.023      2      5     0.90  
XMMC_150.13927+2.09472  414 150.1396700   2.0953000    2.00e-15   -8.34e-17   -1.77e-15     1    -1.00     1173 	    1  1241448   770351   -99.00    16.74    15.68     766.87     511.35     368.37     194.57     -99.00 	   0.000    -99      3     0.00  
XMMC_149.97023+2.18333  415 149.9698100   2.1834870    1.04e-15   -8.31e-15   -7.44e-15     1    -1.00      696 	    1  1664872  1035923    23.83    22.95    21.69      12.81      18.21      27.44      38.47       0.13 	 -99.000    -99    -99     1.56  
XMMC_149.93565+2.44072  416 149.9358600   2.4405820    2.41e-15    1.40e-14   -1.02e-14     1     0.07     1186 	    1  2004849  1248861    22.15    21.43    20.30      43.26      51.16      66.05      85.30       0.34 	   0.993      1      5     0.59  
XMMC_149.66921+2.07396  417 149.6691900   2.0740630    1.64e-14    4.83e-14    3.04e-14     1    -0.26      168 	    1  1366588   848422    20.21    19.08    18.48     125.89     137.94     157.49     240.97       1.43 	   0.340      2      5     0.28  
XMMC_150.33322+2.57899  418 150.3335300   2.5788380    1.73e-15    4.87e-15   -2.90e-14     1    -0.28     1787 	    1  2289051  1425414    27.21    27.02    23.33       4.68       8.57      14.76      38.44       0.23 	 -99.000    -99    -99     2.02  
XMMC_150.45264+2.55139  420 150.4528351   2.5514431    1.32e-15   -2.15e-14   -2.50e-14     1    -1.00      -99 	    1  2256161  1405478    26.27    26.17    22.45       5.00       6.03      10.21       5.98     -99.00 	 -99.000    -99    -99     2.19  
XMMC_150.18835+2.35362  421 150.1879500   2.3529510    7.46e-16   -9.57e-15   -1.02e-14     0    -1.00      962 	    1  1986141  1237060    21.06    20.18    18.84      51.18      53.73      39.70     172.39       0.52 	   0.265      2      3     0.24  
XMMC_150.10536+2.24362  422 150.1047821   2.2436302   -1.04e-15    7.77e-15   -1.12e-14     1     1.00     1144 	    1  1610948  1001333    27.60    26.23    22.31       8.75      11.60      15.40      14.81       0.11 	 -99.000    -99    -99     1.90  
